	id	sentence1	sentence2	similarity
4519	8ec0390cee29c18aecc2cb5e9	North Korea conducts third nuclear test	North Korea Confirms Third Nuclear Test	4.6
1362	699e5a5e4f602b7c601f36974	A close-up view of a horse's head.	A side view of a horse's head.	3.2
2192	13af89a94b731cbbbfce8c93a	"The argument was ""Albert Einstein didn't go to college""."	"OMG, ""Einstein didn't go to college."""	4.2
4256	a4534dd1fafb2141e7c165517	Iran says UN nuclear talks will continue	Iran says nuclear talks with UN 'constructive'	2.8
5165	43f24bf841c8ae2a530893ddd	Super Typhoon Haiyan, Strongest of Season, Slams the Philippines	Super typhoon Haiyan closes in on the Philippines	3.4
2867	8d37dfb5eecacfddcd8fcd88b	The California Farm Bureau did not immediately return calls seeking comment.	The California Farm Bureau did not immediately have an official response to Tuesday's ruling.	3.8
5470	06c3de6fa996fc5fe435fb0ae	Turkey president appeals for calm	Texas house provisionally approves abortion law	0.0
2296	27bf4962fcd214321bf334946	"""Cyclopes don't exist"" - fine."	"""Goblins don't exist"" - fine."	1.6
3601	40acb44efbc15042742fc387f	the mexican government has adopted a series of measures against drug trafficking and organized crime within mexico since 2006. 	since 2006 mexico has adopted a series of measures against drug trafficking and organized crimes.	5.0
4278	0d49d62842b7aff4a22feebc1	NATO strike 'kills civilians' in Afghanistan	Two NATO soldiers killed in Afghanistan	0.8
5613	ee0a587d11cc1ad3f7a4d7b25	North Korea says to put US citizen on trial	North Korea says detained American tourist to face trial	5.0
4813	2ce42d2de01845ab408a252b5	Bombs kill two people, wound dozens at Boston Marathon	Only two bombs found in Boston Marathon attack	2.2
3186	5757edd017782251b621dbd03	"The others were given copies of ""Dr. Atkins' New Diet Revolution"" and told to follow it."	"The researchers gave copies of ""Dr. Atkins' New Diet Revolution"" to the carb-cutters."	2.5
4458	eadac58139503d2b912279b25	Obama lauds progress on gay rights in inaugural address	Thousands protest gay marriage in France	1.0
1753	861c844c6a36564aad9d0e85e	A woman with two men in hats socializing outside.	A young woman with a knit cap stands against the wall of a Domino's Pizza.	1.4
3890	423f7853c7ada618476589849	French Fear New Serial Killer After Murders	Jersey Murder Trial: Killer 'Hearing Voices'	0.8
5103	35830f28ff1a2459d1f45d3d8	Rudd sworn in as new Australian PM	Muslims in hiding as sectarian ...	0.0
1096	7f5d1e11bcf92d0b8b2afee6b	A brown and white dog sits on a floral-patterned chair.	A small orange and white dog with a collar and a bell relaxes on a flower print pillow.	1.8
990	1146ceeddbb7d0b1a86a06b1e	A little girl plays the violin on a beach.	The girl sat on the couch to crochet.	0.0
2543	0594568f5753e1da682583648	BOSTON The Catholic archdiocese in Boston has offered $55 million to settle more than 500 clergy sex abuse lawsuits, according to a document obtained by The Associated Press.	The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.	3.6
3536	d0464ee30e0be44f332030e33	jewish-american group the anti-defamation league (adl) published full-page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal. 	the anti-defamation league took out full-page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal.	4.4
840	0f299d9e41e907e68c8c46c47	A person is rinsing a steak off with water.	A man is rinsing a large steak.	3.929
474	77d223c6669e79e4c797a6e19	A man seated is playing the guitar.	A man is playing an acoustic guitar and singing into a microphone.	3.25
995	649d9da52ee8952480921cb64	A young woman is playing a guitar.	A woman cuts up some meat.	0.75
3193	c7cbf26205263403ba49cb616	When fully operational, the facility is expected to employ up to 1,000 people.	The plant would employ 1,000 people when fully built out, the company said.	4.0
7037	ada55ee16f139bbc442e2b81e	Spanish jobless rate soars past 25 per cent	US jobless rate seen rising, offering Obama no relief	1.0
1463	1858a42e945d0cfb338f70184	A black and white cat sleeping on its side on a purple blanket.	A black and white cat laying on the ground in the sun.	2.8
5289	4cac2d10b7fe59b5f713c333e	Syrians Protest against Erdogan in Paris, Venezuelans Stress Support to Syria	Turkey's Erdogan in Iran to mend ties after split over Syria	1.4
1467	f351d8b13776578e4386deb82	A man is standing next to a yellow sports car.	A man stands next to a yellow Corvette.	4.0
2015	ebacce414ab2161cf81a7a08a	The whole earth combined produces enough food for  billion people.	Who does it now only produce enough for  billion?	2.2
1651	9f70354dbc7f76a062cf11dbe	Two men are setting up some electronic equpitment	Two dogs are wrestling on the ground in the snow.	0.0
6585	ad991084a0f9f3373f3584d63	Try switching to rats; weanling rats if you need something smaller.	As mentioned in previous answers, rats and gerbils can be offered instead of mice or in a rotation with mice.	3.4
5760	a126d69cda7cf4efa045edd08	A man is playing a guitar.	A man is playing a flute.	1.583
7897	fd5ca75e7a72a457eefce80fe	The rule - When in doubt throw it out!	"I always go by the rule ""When in doubt, throw it out!"	4.0
6240	86685cc59175a1dc192ddc0cb	a young boy climbing on a rock wall	Five greyhounds are racing on a sand track.	0.0
6542	069f0412078fa9f9fc6d7aef0	An embolism in a medical context refers to any large moving mass or defect in the blood stream.	Here is an interesting article on wikipedia to give overview of pressure related injuries.	0.0
1478	2311b3e2bedffc389d48d1dc5	Group of elderly people sitting around a table.	A group of elderly people pose around a dining table.	3.4
579	5c16d78d59f24e0602141b1c7	A man is singing.	A man is dancing.	0.5
4514	9f94718285e83997ca2190644	35 militants killed in Afghan raids: official	12 militants killed in Afghan raids: ministry	2.8
1383	e9cda917a48cd17569f4fa063	A black and white photo of a dilapidated wooden fence.	A black and white photo of an old wooden fence near a dirty street.	4.5
3312	1226f19f0b0295b4ce2a73ab8	Customers that pay the $1,219 entrance fee get SMS 2003 with 10 device client access licenses.	Retail pricing for SMS 2003 with 10 device client access licenses is $1,219.	4.333
299	fd8d47c79da40d94d0eb1e67d	A puppy is sliding backwards along the floor.	A puppy is pushing itself backwards.	3.8
6580	cf0f62befc4c99232b53119f2	How could be you so sure that the fish died a natural death.	In my 200 L fresh water tank, which is an aggressive tank, fish occasionally get harassed to death.	1.4
1126	0011648cb957b828f2e6850e8	Tan cow with ear tags on a grassy field.	Many sheep standing on a green hill.	0.2
6774	033609614954c30839250eba3	"""She was crying and scared,' said Isa Yasin, the owner of the store."	"""She was crying and she was really scared,"" said Yasin."	3.8
7238	bcb47b444e35c38851bab4732	10 Things to Know for Wednesday	10 Things to Know for Thursday	2.0
1476	30e67c96933100d54485bfe93	A black and white cat is sitting on a brown chair looking up.	A dog sitting on a yellow chair next to a green dumpster.	0.4
2917	df0daf6cf88ab5cec8d764737	Egyptologists cast doubt Tuesday on an expedition's claim that it may have found the mummy of Queen Nefertiti, one of the best-known ancient Egyptians.	Egyptologists think they may have identified the long-sought mummy of Queen Nefertiti, one of the ancient world's legendary beauties.	2.6
2960	c2ad2a16e807605c9a6061ba2	The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.	The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.	5.0
5968	c61fa7bceda9119b9577edd20	A boy is playing a piano.	A man is singing and playing a guitar.	1.25
7036	dbc8111449d3c957f9e1d4b4a	2 pro-Palestinian activists arrested at B-G Airport	Dozens of 'flytilla' activists protest at Paris airport	2.2
7490	8196a33f1b5c913ac855dba04	A chimp is kicking a target.	A woman is putting oil into a skillet.	0.0
4632	9226b9dcbb00dfea5fe4090f1	Pakistani Taliban chief Hakimullah Mehsud killed in drone strike	Pakistan Taliban vows revenge, to repay Hakimullah's killing in bloodshed	2.6
4281	66c748ab8e60c2eb22c36b720	China stocks open higher Wednesday	US stocks open higher despite GDP miss	0.8
8118	ee6faa5c4fd6172f7a1bd9892	I've had this same problem.	I had this problem before.	4.0
6099	d591cbefec55280cb54d6e208	A bird eating from a bird feeder.	A yellow bird eating fruit on a bird feeder.	3.2
475	7b57782bf6b9bb4373d8f6745	A woman is slicing an onion with a knife.	A man is preparing some dish.	1.25
7389	0eab0362e2beb882ad8af8b67	A man plays a guitar.	A man is playing a guitar.	5.0
6993	d8f5b05b00e47b7ce488939c9	Aiken's study appears in the Sept. 24 issue of the Journal of the American Medical Association.	The findings appear in Wednesday's Journal of the American Medical Association.	3.091
5751	79f5687baf254f07753c9b313	A man is feeding a mouse to a snake.	The man is feeding a mouse to the snake.	5.0
3537	cb75d6a0dee830eb07d3ceb73	france provides the rockets, guns and engines. 	britain provides fuel tanks and gearboxes.	1.8
3997	f0dd12e03b0e7b6139b9bacc3	Clinton warns Kenya of cost of election violence	Clinton warns Kenya on repeat of 2007 vote chaos	2.8
7648	8ceb85d587e5166154c84ad6f	A tan and white dog retrieving a ball on a gravel path.	A large dog walks along a gravel path in the woods.	2.0
2171	97f45cb3f016ee4d0979634e2	There is no more egg cell post-fertilization.	There is no more sperm cell.	2.4
2876	2dbda373e8786e169cbab0516	The parents want her kept alive; her husband says she never wanted to be kept alive artificially.	Michael Schiavo has argued that his wife never wanted to be kept alive artificially.	2.8
8614	04d17a055cb1e961762b22b8e	Militant attack from Afghanistan kills four in Upper Dir	Militant attack from Afghanistan kills FC soldier in Balochistan	3.0
5628	1b09833d9e988a62950ed7bd1	At least 18 killed in Iraq mosque bombing	More than 60 killed at Iraq funeral	0.0
962	92c8da02fc386dcf390836316	A man is playing keyboards.	A man is riding a mechanical bull.	1.2
4801	2f4c79cc5e9a8134592ed1edf	Libya threatens army action against oil protesters	Bomb threat forces evacuation at Princeton	0.8
3583	3388135069ad419dc5135bc4f	vietnam has among the world's harshest drug laws. 	vietnam's drug laws are among the world's strictest laws.	4.8
1046	e97325ea9e899a50a80e1390c	A cruise liner docked at the shoreline.	A cruise ship docked at shore.	4.4
7446	bf9c48884eaaa9801275cfb4b	A man is talking on the phone.	A man is moon-walking across a store.	0.4
6423	7c588509cc333b248743ebc16	Since this is a relatively new problem for behavioral researchers, I don't know that there is a common consensus.	I'll address just the first of your three sub-questions, the others have been answered by Chuck Sherrington.	0.0
2732	d74d3fd9715aae02658e90cb7	Britz earned $3.77 million in salary, bonus and other compensation, and Kinney earned $3.76 million.	Johnston made $5.8 million in salary and bonus in 2001 as president, and as a part-time adviser earned $1 million in 2002.	1.4
6668	244bdadd1f6357c4c151da164	I've recently bought two sit/stand Galant tables from IKEA and I'm quite happy with them.	http://www.varidesk.com/ There is also the hand-made/DIY version for which you could obtain design templates for.	1.8
739	1bfca0a7382b64e837bf51530	A woman is dancing.	A woman is slicing ginger.	0.25
2643	a1a353a77868de9435de18eba	Analysts' consensus estimate from Thomson First Call was for a loss of $2.08 a share, excluding one-time items.	The estimate of analysts surveyed by Thomson First Call was for a loss of $2.75 a share.	2.5
2749	b860ffd97912463dad1128682	AMD's chip sales jumped 7 percent year-on-year to $402 million.	Second-quarter sales grew 7 percent, to $645 million from $600 million in 2002.	2.2
1442	7c243445a5211ae7800e8c870	Young woman in riding gear on top of horse.	The woman is riding on the brown horse.	3.8
1507	dcdb7583729bf212bf3f4bec9	A young girl holds up a peace sign.	A little girl holds onto a pole on a city street.	0.6
178	692dbf3acd8850fe70dd6472b	A person is writing.	A person is writing with a pencil.	3.6
8445	d1c1bc8570c73b40680832833	Libya postpones assembly election to July 7	Libya postpones landmark election to July 7	4.0
4435	c2881410466a44675cfa81e24	Egyptian court bans Muslim Brotherhood	Egypt court bans Muslim Brotherhood 'activities'	3.8
5099	dfbc77241e252c23303e443a2	Iran excluded from Syria peace talks: UN	Many killed in Syrian air strike	0.4
2367	f7775dcbcecc3d2dcde92ac71	Ha, ha, ha, ha, ha, ha!	Ah ha, ha, ha, ha, ha!	5.0
3772	585635950748838b032560d6c	Quartet calls on Israelis, Palestinians to end irritants	Occupation to confiscate 30 dunums of Palestinian land in Deir Estia	1.4
4936	a9e7dff578e5b12c5fe87a448	Discipline against student gunman thought to have sparked Colorado shooting	Discipline against student thought to be key to motive	3.4
7070	6cbd0e667ea5f9b8cb56f06a1	Roadside bomb kills 10 Afghan civilians: police	Roadside bomb kills 5 Afghan policemen	2.6
104	30aa3f0db48239ef1e0a05aa3	A man is playing the piano.	The man is playing the violin.	1.75
5096	bd7fe68f9940bc917f0ee4418	Thousands evacuated in Moscow metro fire	Thousands evacuated after fire breaks out in Moscow Metro	4.8
6791	40efb0bada8864dac314bb324	YES filed suit yesterday in the Supreme Court of New York County in Manhattan.	The suit was filed in the Supreme Court of New York County.	3.0
3701	97547dd4b648108c53293057b	the opposition japanese communist party was against the new law and feared it would lead to a stronger military. 	the opposition japanese communist party was against the bill proposing the new law.	3.2
427	21dd6466424651b28eb7f72c7	Plastic toys are floating in water.	The ladies are performing a dance.	0.0
4810	a1728780233bf5b52bc3bd3a9	Blast kills 10 young girls in eastern Afghanistan	Blast kills nine in southern Afghanistan: officials	2.8
7480	50ddac8e014521275f0409ae4	A woman is cutting an onion.	A horse is standing.	0.0
2221	d368767e372116127aac5c454	Has Annie ever used her sexuality like that?	One word: Zombies Has Annie ever used her sexuality like that?	3.8
4804	e388d4e4cafc42df309798c86	Gunmen ambush police boat in Nigeria oil region	Sudanese police block protest at human rights commission	0.0
3181	d90ad9ad701fd8802c7a1b4e5	With diplomacy heating up in the nearly 10-month-old nuclear crisis, Chinese Foreign Minister Li Zhaoxing is slated to visit South Korea from August 13 to 15.	With diplomacy heating up in the nearly 10-month-old crisis, Chinese Foreign Minister Li Zhaoxing flies to Japan on Sunday en route to South Korea on August 13.	3.0
163	91eba4b2d6029ea8164f8c8ab	The man spread butter on the loaf of bread.	A man is spreading butter onto bread.	4.0
5798	38232fa9a2d39395ee00bb7ba	A man is fitting silencer on a pistol.	A man is adding a silencer to a gun.	4.5
1335	3490b95297d713f11ed2af893	A person in a red cap standing next to a brick support beam.	A brown horse is standing on grass and scrub.	0.0
5838	c213a625ff7d5b5cc1d2e750f	Batman and Robin fly a helicopter over water.	A helicopter flies over water.	2.6
7251	fd679df967223c72382c74131	One woman is measuring another woman's ankle.	A woman measures another woman's ankle.	5.0
509	70c0cc422f8e77764b31f4d96	A woman is riding a horse.	A woman is riding a donkey.	2.8
5087	8065d03eb2c838d003cfe3823	Fourteen killed in Brazil bus accident	Two killed in Arizona skydiving accident	0.6
464	d955ef1fafa147b971a17e56c	The lady sliced a tomatoe.	Someone is cutting a tomato.	4.0
1502	5e71c548181c75859c09b7b21	A brown dog digging a hole in front of a plant	A group of people walking on the side of a railroad track.	0.0
7615	961f6fcf470b34f8fcb61fc3e	A black and white cow standing in hay looks back at the camera.	There is a black and white sheep standing on the grass.	0.2
1692	1e15ee140f532e070d0172b48	A grey hound is active in a grassy field.	A bunch of bikes racing on a track.	0.0
4659	92d228a1967658596ef13d5a6	Egyptian police fire tear gas at Brotherhood protesters	India: Tear Gas Fired At Gang Rape Protesters	1.2
5049	3f9d86b139101c6c7fa4fc710	Protesters topple Lenin statue in Kiev	Ukraine protesters topple Lenin statue in Kiev	4.4
2901	6c3ae62823ef9456f94b9bf15	The rule bars groups from airing ads that promote, support, attack or oppose a candidate at any time.	It upheld fallback rules that bar the same groups from airing ads that promote, support, attack or oppose a candidate at any time.	3.75
6811	c5e49c6614080a32cf49e7c38	"""They've been in the stores for over six weeks,"" says Carney."	"The quarterlies usually stay in stores for between six to eight weeks,"" Carney added."	2.6
4719	1fdbfdba148ca989d9098db29	New World Trade Center declared tallest building in U.S.	One World Trade Center Named Tallest US Building	4.2
6383	ceee8a5c78d17b11e8cacaea8	It is perfectly okay to ask for the figure knowing well that the other person may not give.	You can always ask, then it is the choice of the author to accept or not.	3.6
5692	863660b40d5cb81fb32a082a4	Teenager tests negative for Ebola	Texas hospital worker tests positive for Ebola	1.0
3257	f6009a53697aca632a22adb7c	In January 2000, notebooks represented less than 25 percent of sales volume.	That compares with January 2000, when laptops represented less than 25 percent of sales volume, NPD said.	4.0
4137	2b50fe30a065ef8dbafe374b6	Microsoft's Surface a big bet on future: Analysts	Microsoft's Surface tablet promising, but questions remain	3.8
7059	958385618868298dde541e8c8	Romney rocked by secret video	Romney taped at secret donor talk	2.8
6343	7b3e398afe86ea8fd21e5dc23	A pregnant woman is in labor	a woman has a child.	1.6
6776	ffadd49c92a779e36f8b48af4	The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat.	The dollar was at 116.78 yen JPY= , virtually flat on the session, and at 1.2871 against the Swiss franc CHF= , down 0.1 percent.	3.2
1953	132bf4ce00378d08192fb6e39	Person with two ski poles skiing down a snowy hill.	A person skiing down a snowy hill.	4.2
2757	a7f99fecb05cc71071818aa30	When police removed the four from the home, they weighed 136 pounds combined.	Each boy weighed less than 50 pounds when they were removed from the home Oct. 10.	3.0
8569	d2f73d5bc2ed72a52ad297519	Car bomb at Swedish consulate in Libya's Benghazi, no casualties	Car Bomb Hits Swedish Consulate in Benghazi, None Hurt	5.0
7646	ba9e28fad77be0fcfd7caca00	The dog is running through a field.	A dog runs through a field.	4.8
648	a182edd09d314a6795c7ee3c4	A woman is playing the flute.	A girl is playing a flute.	3.8
4779	2de62fa4de01abb1dfbded7ec	US Capitol Hill on lockdown after shots fired	Watch live: US Capitol on lockdown after reports of shots fired	4.8
1271	2e9398a968197078260fd7411	A mallard and a tame white duck on the grass near water.	A small child in a pink dress sits on a table.	0.0
4526	8ea341710b737166f9265b981	Tokyo to host 2020 Olympic Games	Tokyo wins race to host 2020 Olympics	4.2
8399	29e59b3f79f5c5ecd821add88	Publisher acquitted in privacy case	PBS publishes new guidelines on impartiality	0.4
2510	b01c00294b2323129818db1d1	"Officials at Brandeis said this was an ""extremely heartrending"" time for the campus."	"""This is an extremely heartrending time for the entire Brandeis University community."	4.4
747	66d0aa8192f9b2bd8e05dfde8	A man and woman are walking.	A man and woman walking hold each other.	3.2
5396	7109e7679d25fa3954d10f5db	Protesters swamp streets to reclaim revolution	Egypt: Protesters storm Muslim Brotherhood's HQ	1.6
2394	4e5da50b284136f1a5d0712d7	Time of the Season by the Zombies We are all vessels filled with many wonders.	The theme song to Cheers: We are all vessels filled with many wonders.	2.8
3798	3e8e5b69bf82f9dfa4e1b6a84	Audi to buy motorcycle maker Ducati	Probe into motor insurance market	0.6
8151	2589dde86e8e36717fb34092c	The consensus among Wall Street analysts was for a loss of 28 cents a share.	Analysts surveyed by First Call were expecting sales of $723 million and a loss of 28 cents a share.	3.0
3564	c4c4b1aaa954c4bfd1ed24a50	estonian officials stated that some of the cyber attacks that caused estonian government websites to shut down temporarily came from computers in the administration of russia including in the office of president vladimir putin. 	officials in estonia including prime minister andrus ansip have claimed that some of the cyber attacks came from russian government computers including computers in the office of russian president vladimir putin.	3.8
1288	40fd2e109b6c887597ad9cb86	Red double decker bus taking on passengers.	Red double decker bus with hood up.	2.2
3713	d3f696773de7f734f02bb7445	the extradition conditions stipulate that the tunisian can only be prosecuted for the single charge of falsifying documents that italian authorities can provide sufficient evidence to prosecute. 	spokesman for the swiss justice ministry folco galli stated that the extradition conditions stipulate that mejri can only be prosecuted on a single charge of falsifying documents for which italian authorities could provide sufficient evidence to prosecute.	2.6
6406	59b7612b861f2c76faa1463f5	Stars form in star-formation regions, which itself develop from molecular clouds.	It may be possible for a solar system like ours to exist outside of a galaxy.	0.6
8057	e8083e9b430ea6125a9af709f	A few more point to think about:	A few things to think about:	5.0
5195	4d014b2513d7607b194814e16	Crash of Malaysia Airlines Flight MH17 in Eastern Ukraine	Malaysia Airlines plane crashes on Ukraine-Russia border	4.0
8423	6bf1bbe88b769515a800093e6	Japan suffers severe flooding - in pictures	Oklahoma wildfires destroy homes - in pictures	0.8
5548	955d8c3b000910fa80e4da310	Assad says Syria will comply with UN arms resolution	Syria's Assad vows to comply with U.N. resolution	4.8
5871	e7b8a723525e0a42f52f7b9e3	The man stirred the sauce for the chicken.	The man is stirring oil.	2.4
908	3da60e493ffb28c1bb18260f6	A woman is cutting scallions.	A woman falls on a sand castle.	0.0
7712	b0dbb8a6e1fd8cc9ed47d57bd	Three children playing in snow.	Three children playing in hay	2.4
6813	515c3797d20ee0d32d26c4365	But price declines have remained below 30 percent, year over year, for the last two quarters, said IDC analyst John McArthur.	McArthur told internetnews.com price declines have moderated and remained below 30 percent from the previous year for the last two quarters.	3.75
7135	f41a1ab709fd48b0bb85e7c41	New Japan govt hints at joining Pacific trade pact: Report	Japan, US hold talks linked to regional trade pact	2.8
965	742d7a6a9bc5c40c6785013b6	A man is adding oil to a pot.	A dog is catching a fish in a river.	0.2
1524	f3ad0d1c75f6562bc7e403ae2	The white and brown dog runs across the grass.	A brown and white dog runs across the grass.	4.8
7398	72d0e4b3286a01f4a54316122	A man is praying.	A man is dancing.	0.75
7585	18625ebccd1ec71fc3335ef9c	Two cats sitting on a couch looking out the window.	Two cats are looking at a window.	3.6
6519	bde8126eeef111a9d1defe69c	In some nowadays Indo-European languages you can still see rests of base-20 numeral systems.	Modern Englishes, and many other well-known languages, use base 10 (ie decimal) systems of numerals.	2.2
5048	59af90ca250dff164c64a9445	Israel ends airstrike case; Palestinians critical	Israeli gunboats fire at Palestinian fishermen	1.4
2760	1b0e5f029aef7f9d595f42c3c	The blasts killed two people and injured more than 150 others.	The Atlanta Olympic Games attack killed one woman and injured more than 100 other people.	1.8
2366	ecac2f49e4d3afd484df62921	How do you know what's right and wrong?	How do you know which story is the right one?	2.2
1800	f1b72e69fe668d3a1acd2a558	Three dogs are running in a field.	Two dogs are running in a grassy field	2.8
5430	e5d444f714fe32b822044954d	Iran Nuclear Talks Enter Third Day	Iran nuclear talks enter crucial third day	5.0
8593	b977b86f4c6f52ab016ec974f	US, China fail to paper over cracks in ties	China: Relief in focus as hope for missing fades	0.4
7329	62e8c12e3465cb339ac458bba	A man is opening a box and taking out paper.	A woman is peeling a potato.	0.0
2633	29d0b60a943319c7303e5b579	We intend to appeal vigorously and still expect to be vindicated ultimately.	We think this was bad law, and we still expect to be vindicated ultimately.	3.067
883	9c65adfe535348f69ced2c941	A boy is upset playing video games.	Someone is playing a gameboy.	1.75
2228	a5a076c51ffbda5b3332a1e6d	I don't see Obama as the lesser of two evils.	I don't see him as evil at all.	2.0
2056	26aefa51a173fad63a986d1ca	Ah ha, ha, ha, ha, ha!	Ha, ha, ha, ha, ha, ha!	4.5
704	bc631440b5c2dae12ef79606e	A chicken is pecking at a dead mouse.	A rooster pecks at a dead mouse.	3.6
3231	c5aaab8d96d789beb9ce3ccf1	Thirty-three of the 42 men had been arrested by Wednesday evening, said Daniel Bogden, U.S. attorney in Nevada.	Thirty-four of the men have been arrested and the others are being sought, US Attorney Daniel Bogden said yesterday.	3.0
2319	6148a7cf55283c3db071a41cc	not a constitutional issue.	again, this is not a constitutional issue.	4.4
7203	8459593c1c8db6d300d0d0f46	Foreign companies eye new 'opening-up'	More carriers likely in China	0.6
6314	6592cf5a9122339ea961d730b	A woman doesn't have her arms up because she's paralyzed from the neck down	A woman is sitting on the steps because she tripped and hurt her ankle.	0.8
1530	c1e3a3056e8f1f3cd9a5fccb4	Two Asian men and Asian woman sit in black massage chairs.	Two Asian men and a woman are relaxing in massage chairs.	4.6
2302	fdb38b483ae029e78c19f0821	Holly Holy We are all vessels filled with many wonders.	Say What You Will We are all vessels filled with many wonders.	3.8
4049	fc97d9ab9519db0abc84c377d	Australian among four on plane missing in Indonesia	Iranian painter Mansoureh Hosseini dies	0.0
6889	c01e978b03afae68c1a554c89	The first health-care worker in the country to die of SARS was a Filipina-Canadian who contracted the disease at North York General Hospital, the site of the second outbreak.	Emile Laroza, 51, contracted SARS while working as a nurse at North York General Hospital, the epicentre of the second SARS outbreak.	3.25
5324	17b106a9848bd72a4149f63e0	S Korea MPs to visit Kaesong complex	S. Korea demands talks with N. Korea on closed factory	1.4
6613	6e06d99db52a35e4357bec70f	Fast Picture Viewer has an extensive pack for the low price of $9.99 and it appears to cover them all.	Fast Picture Viewer is $9.99 and works just fine on 64-bit Windows 7 (I'm using it myself).	3.8
6482	e79337fa0877996b2af712000	There are no post-emergents that specifically kill crabgrass without killing lawn grass.	I brought an Ace product that kla crab grass and you can use it below 90 degrees.	1.8
8431	5023d5d364aefd360244fad5c	KL shares higher at mid-afternoon	KL shares lower at mid-morning	1.6
4021	269d3082da4a4e4c24073f8d7	Minn. terminal reopens after evacuation	Minn. Terminal Reopens After Bag Causes Evacuation	3.8
6683	f7758ff59b2bd807ae6d787c5	"First, we must consider that ""Sphere"" is less Hard SF and more soft SF, thriller, airport novel and such."	"""Fins"" on real spacecraft are usually for one of two purposes: solar panels or thermal radiators."	0.0
5456	a84a2071b734adb3d1dbdc139	Bone fragment 'could be King Alfred'	Remains in Winchester could be King Alfred the Great	4.6
1891	03d6b103f30e33ad1497f22e4	A group of people standing outside of a building.	A large group of people have formed a line outside.	3.2
3215	5d70f14ee65991fca9a600c50	The new policy gives greatest weight to grades, test scores and a student's high school curriculum.	Academic achievement -- including grades, test scores and high school curriculum -- are given the highest priority.	4.5
7077	b2cc73b8680d79a6dd7529e64	China's CPI growth slows to 1.8 pct in July	China's industrial output growth slows to 9.2 pct in July	2.6
3743	983699baedb5ff58b144e7f92	the spokesman said there will be an exchange of opinions on topical international and regional matters based on a joint working relationship at the heart of the u.n. kamynin said russia recognizes the participation of libya in the work of the u.n. security council. 	kamynin said there will be an exchange of opinions on topical international and regional matters based on a joint working relationship at the heart of the un.	3.0
389	b4d4d1310b369999ddb4dc29a	Someone is pouring ingrediants into a pot.	A man puts vegetables into a pot.	2.8
6900	e2552c54577ded9e815f77848	The companies, Chiron and Aventis Pasteur, together made about 80 million doses of the injected vaccine, which ordinarily would have been enough to meet U.S. demand.	Chiron and Aventis Pasteur together made about 80 million doses, ordinarily enough for U.S. demand, The Associated Press reported.	4.4
1188	e78d208cb9c8936974d2040e7	A line outside of a bookstore on a street.	The yellow motorcycle is parked on the street.	0.4
3455	6c91a7703909df21785a2937b	santos stated the radioactive material was the primary basis for generating crude weapons of mass destruction and terrorism. 	uranium is a radioactive material which is the primary basis for generating dirty weapons of mass destruction and terrorism.	3.6
8163	8e73ce66712e613301b977aa4	Kyi, a U.N. envoy says, as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed.	JAPAN added to growing international pressure on Burma yesterday, threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi.	3.0
2357	d4ec6110ce1f336901b9c480e	The Face Of The Franchise: The worst part is that he's not even a Leafs fan!	The worst part is that he's not even a Leafs fan!	4.4
329	a7ea6609bf2707eb5ddaa541c	A bear is running from two dogs.	A bear is fighting wolves.	1.4
1958	872d5a412848e32ecd3ae9e5b	A lady is running her dog through an agility course.	Trainer runs her dog through training course with green pipe	4.2
5547	7f5cff550855b1a02b55693f5	Palestinian hunger striker, Israel reach deal	Palestinian activist detained in Israeli raid	1.2
7472	b87d8af8f6b68476027a503da	Several kids jump up and down on a trampoline.	A man is doing back flips on a trampoline.	1.5
6027	9af2d733a7d6a7f985bd558c7	A red and white plane flying on a sunny day.	Red and white plane flying through the air.	4.2
4248	4963f43a90946b8e51f57499b	Dozens killed in Nigerian riots	Dozens killed in Kenyan clashes	1.0
1323	ee3f05bae8f17ea1a3bc664e5	A man riding a white horse.	A woman with a white horse.	2.2
6666	3e101c6b3616bbba5c795c7cf	Currently I've got a fairly close to purely digital GTD setup, although this could do with some refinements and tweaks.	My GTD system is effectively 100 percent electronic--as described in detail here.	3.4
5996	446e2fb6439030cef026f0a26	Someone drew on Washington's face on the dollar.	A person draws on a dollar bill.	3.4
376	d0fe0fb84a3f256ad08d1ed64	The woman is walking her dog.	A woman walks her dog down the street.	4.0
3867	7ad170b0679acaff356629497	Israel threatens action against Gaza aid ship	Israel attacks in Gaza Strip after rocket fire	1.6
6924	c24c656532adc3569c3d733d8	Florida's Supreme Court has twice refused to hear the case.	On Tuesday, a Florida appeals court again refused to block removal of the tube.	2.75
1984	22689dd04c8c8e82ad2d70727	A dog splashing in the water.	A dog splashes in the murky water.	4.0
4323	7af7878ba356b564af22d13de	Romney wins big in Puerto Rico primary	Romney wins Illinois primary	1.5
